 *** ZZT:Watch ***
File: D:\ZZT\Watch_ZAKUCA1A-ZAKUCA1A_089.log
Computer: INEM1332-NB; User: anto.maric
Connection: Telnet 192.168.0.11:23
Target: D105OSCZ; Application: ZAKUCA1A-ZAKUCA1A
Start time: 21.2.2025. 15:03:14

Signals: 16
 1.    VGACT int16
 2.     PACT int16
 3.     QACT int16
 4.    VGREF int16
 5.    PACTH int16
 6.    QACTH int16
 7.    QHREF int16
 8.    VHACT int16
 9.    VHREF int16
10.  COSPHIH int16
11.  COSHREF int16
12.    IFACT int16
13.    UFACT int16
14.  COSHINC log16
15.  COSHDEC log16
16. COHREFCC int16

Data:
   5.835 -21524  11550  -7015  21978  11753  -8043      0 -22570  24179   5732      0   3442   3468 0 0   1000 
   5.919 -21526  11570  -7015  21978  11753  -8043      0 -22570  24179   5732      0   3445   3469 0 1   1000 
   5.993 -21526  11577  -7020  21978  11753  -8043      0 -22570  24179   5732      0   3442   3464 0 1   1000 
   6.075 -21524  11563  -7013  21978  11753  -8043      0 -22570  24179   5732      0   3444   3477 0 0   1000 
   6.159 -21524  11559  -7006  21978  11753  -8043      0 -22570  24179   5732      0   3444   3480 0 0   1000 
   6.258 -21526  11541  -7013  21978  11753  -8043      0 -22570  24179   5732      0   3440   3463 0 0   1000 
   6.342 -21526  11514  -7013  21978  11753  -8043      0 -22570  24179   5732      0   3438   3459 0 0   1000 
   6.414 -21527  11505  -7020  21978  11753  -8043      0 -22570  24179   5732      0   3436   3448 0 0   1000 
   6.487 -21526  11500  -7015  21978  11753  -8043      0 -22570  24179   5732      0   3436   3471 0 0   1000 
   6.571 -21526  11500  -7015  21978  11753  -8043      0 -22570  24179   5732      0   3434   3469 0 1   1000 
   6.685 -21524  11518  -7015  21978  11753  -8043      0 -22570  24179   5732      0   3436   3453 0 0   1000 
   6.768 -21524  11536  -7020  21978  11753  -8043      0 -22570  24179   5732      0   3438   3478 0 0   1000 
   6.841 -21526  11536  -7020  21978  11753  -8043      0 -22570  24179   5732      0   3436   3473 0 0   1000 
   6.925 -21526  11543  -7020  21978  11753  -8043      0 -22570  24179   5732      0   3438   3464 0 0   1000 
   7.024 -21526  11545  -7020  21978  11753  -8043      0 -22570  24179   5732      0   3440   3479 0 0   1000 
   7.149 -21526  11516  -7015  21978  11753  -8043      0 -22570  24179   5732      0   3438   3453 0 0   1000 
   7.247 -21526  11509  -7013  21978  11753  -8043      0 -22570  24179   5732      0   3436   3459 0 1   1000 
   7.320 -21527  11500  -7022  21978  11753  -8043      0 -22570  24179   5732      0   3434   3451 0 0   1000 
   7.393 -21528  11500  -7022  21978  11753  -8043      0 -22570  24179   5732      0   3432   3463 0 0   1000 
   7.477 -21529  11500  -7022  21978  11753  -8043      0 -22570  24179   5732      0   3431   3461 0 0   1000 
